child	father	mother	population	rDNA45S.cn.child	rDNA45S.cn.father	rDNA45S.cn.mother	rDNA45S.cn_single.child	rDNA45S.cn_single.father	rDNA45S.cn_single.mother	rDNA45S.18S.flat.child	rDNA45S.18S.flat.father	rDNA45S.18S.flat.mother	rDNA5S.cn.child	rDNA5S.cn.father	rDNA5S.cn.mother	HSat1A.mass_Mb.child	HSat1A.mass_Mb.father	HSat1A.mass_Mb.mother	HSat1B.mass_Mb.child	HSat1B.mass_Mb.father	HSat1B.mass_Mb.mother	HSat2.mass_Mb.child	HSat2.mass_Mb.father	HSat2.mass_Mb.mother	HSat3.mass_Mb.child	HSat3.mass_Mb.father	HSat3.mass_Mb.mother	bSat.mass_Mb.child	bSat.mass_Mb.father	bSat.mass_Mb.mother	aSatHOR.mass_Mb.child	aSatHOR.mass_Mb.father	aSatHOR.mass_Mb.mother	ACRO.mass_Mb.child	ACRO.mass_Mb.father	ACRO.mass_Mb.mother	SST1.mass_Mb.child	SST1.mass_Mb.father	SST1.mass_Mb.mother	CER.mass_Mb.child	CER.mass_Mb.father	CER.mass_Mb.mother	SATR.mass_Mb.child	SATR.mass_Mb.father	SATR.mass_Mb.mother	TEL.mass_Mb.child	TEL.mass_Mb.father	TEL.mass_Mb.mother	truth.auto.child	truth.auto.father	truth.auto.mother	DJ.cn.child	DJ.cn.father	DJ.cn.mother	chrM.copies.child	chrM.copies.father	chrM.copies.mother	chrEBV.copies.child	chrEBV.copies.father	chrEBV.copies.mother	depth.child	depth.father	depth.mother	ctrl_dup_frac.child	ctrl_dup_frac.father	ctrl_dup_frac.mother	gc_rel_65.child	gc_rel_65.father	gc_rel_65.mother	insert_median.child	insert_median.father	insert_median.mother
HG00459	HG00457	HG00458	CHS	512.45	432.3	387.13	501.586	420.076	375.473	585.26	493.14	454.08	218.89	175.15	248.33	20.2362	18.5911	17.1979	15.6069	16.9155	1.2411	54.0235	42.6695	51.6527	75.1156	79.4794	47.134	10.5615	9.0465	10.9103	146.9352	150.7739	159.2778	3.6508	3.8918	3.4399	0.6033	0.6484	0.3905	0.6968	0.7238	0.7842	0.2626	0.2652	0.2511	0.3413	0.2198	0.3506	2.0028	1.9963	2.0091	9.59	9.51	9.45	1059.9766	786.166	770.4854	104.8841	24.7798	36.4858	36.736	37.238	37.922	0.0889	0.0725	0.0757	1.2189	1.2395	1.2666	440.0	442.0	438.0
HG00465	HG00463	HG00464	CHS	566.23	433.53	472.6	552.589	423.682	461.822	661.55	496.18	554.39	168.95	165.32	142.91	15.5416	21.5209	14.6685	15.7774	15.4272	1.8624	29.0253	39.151	35.6927	74.9957	59.2571	56.1588	8.1974	8.1053	9.1061	142.5572	143.9927	161.5209	2.716	2.4403	2.425	0.6547	0.6082	0.6622	0.7554	0.7674	0.7745	0.2377	0.2351	0.2339	0.5904	0.3403	0.3974	2.0038	2.0003	1.9899	9.63	9.66	9.69	744.3774	881.7113	887.2082	64.0958	32.9574	16.164	37.146	37.568	37.816	0.0908	0.0845	0.0878	1.2378	1.2602	1.2762	444.0	436.0	435.0
HG00474	HG00472	HG00473	CHS	531.84	487.12	734.7	519.803	479.013	735.029	621.04	551.29	835.41	145.49	167.15	150.18	16.143	15.7213	17.8327	15.6506	14.4869	1.7351	46.927	54.3955	35.892	74.8884	72.7879	54.3582	10.9321	10.3648	11.0606	131.4478	143.9957	147.1422	2.3268	3.2538	2.1371	0.8632	0.6477	0.7575	0.8064	0.8673	0.8227	0.2473	0.2471	0.2397	0.3318	0.3992	0.3059	2.0039	2.0024	1.9834	9.49	9.39	9.77	840.9974	752.6215	744.4383	56.6889	59.1313	52.6107	38.788	33.964	41.017	0.0778	0.0968	0.0885	1.2663	1.2134	1.2231	449.0	437.0	433.0
HG00477	HG00475	HG00476	CHS	403.49	320.92	379.94	402.173	320.087	379.621	448.69	365.01	439.12	153.37	146.72	174.57	15.0792	11.6641	16.9232	14.661	15.0848	1.0255	42.4854	38.9366	40.4315	67.1889	74.3598	50.1224	8.2985	9.1883	9.2234	153.551	146.0891	165.2871	3.7091	4.1768	3.7002	0.5025	0.5977	0.6345	0.7893	0.7379	0.8227	0.2456	0.2526	0.2522	0.5528	0.3898	0.4368	2.0114	1.9957	1.9897	9.89	9.69	9.75	740.3376	863.1621	643.5421	26.6432	65.4097	70.7643	39.657	37.727	34.667	0.1129	0.1015	0.103	1.1824	1.2156	1.2259	447.0	420.0	420.0
HG00480	HG00478	HG00479	CHS	334.09	413.49	294.65	329.293	406.589	295.222	379.02	465.68	327.39	187.93	143.2	167.25	14.5295	17.0561	15.8549	15.561	15.2829	1.4457	39.7864	46.8645	52.4849	79.1141	63.2316	55.8824	9.6057	11.2195	8.5641	162.8838	152.1453	151.7523	2.5041	2.2397	2.2247	0.5095	0.5399	0.6077	0.7473	0.7746	0.7213	0.2464	0.2587	0.2166	0.4219	0.4289	0.5901	2.0017	2.0098	1.9979	9.79	9.74	9.42	740.1346	690.1719	719.0306	94.5897	51.6014	26.0186	36.945	36.041	33.309	0.0882	0.0638	0.059	1.2258	1.2024	1.1954	450.0	437.0	433.0
HG00502	HG00500	HG00501	CHS	446.44	512.21	501.58	447.703	495.638	499.941	513.17	580.88	561.65	195.89	181.03	215.54	13.8612	16.6999	13.3733	15.9252	15.7794	1.3133	36.6651	39.7254	45.1021	77.7319	79.1813	47.1728	9.6477	9.8577	11.0221	143.2086	153.2888	148.6618	2.9509	3.2285	2.9315	0.6421	0.6741	0.5441	0.7604	0.7164	0.8523	0.2523	0.2355	0.2527	0.4872	0.1581	0.2179	1.9965	1.9906	2.0329	9.56	9.52	9.82	743.901	629.1873	762.0916	38.5813	17.613	67.3872	36.64	40.463	33.714	0.0845	0.0768	0.0949	1.269	1.1908	1.2047	450.0	419.0	450.0
HG00514	HG00512	HG00513	CHS	566.43	385.63	495.66	565.511	382.014	484.031	649.55	425.88	555.51	197.45	199.23	109.98	13.9366	13.263	15.7733	1.4822	22.8451	1.4494	46.7642	50.4857	42.4715	46.5507	92.6986	50.1128	11.0015	12.095	10.9336	142.8504	157.8459	147.7201	2.7061	3.0714	2.5351	0.6499	0.6562	0.6361	0.8513	0.8948	0.8681	0.2316	0.2627	0.2378	0.605	0.2773	0.8279	1.9978	2.0024	1.9985	9.9	9.59	9.72	958.5602	722.0045	719.6167	210.8072	63.2023	175.5411	37.602	38.359	70.864	0.0982	0.0915	0.1019	1.2177	1.1873	1.201	446.0	447.0	439.0
HG00526	HG00524	HG00525	CHS	387.56	211.17	514.98	381.622	211.486	517.093	447.52	242.27	576.45	198.27	170.7	174.4	16.0901	18.2121	21.6224	22.1152	23.0183	1.4085	50.8568	50.5893	37.3349	83.4693	83.1912	49.0297	10.0215	12.2929	10.3175	149.8285	155.664	155.0708	2.5675	2.7572	2.3998	0.5612	0.5189	0.5374	0.8518	0.8549	0.827	0.2506	0.2568	0.2334	0.4943	0.4743	0.6554	2.0078	1.998	1.9924	9.8	8.93	9.49	607.0755	1083.4511	830.0561	57.3693	70.3928	89.9352	37.382	36.191	34.712	0.0871	0.086	0.0626	1.2544	1.2336	1.1837	439.0	433.0	442.0
HG00532	HG00530	HG00531	CHS	847.41	692.79	453.77	842.273	691.778	461.302	1013.65	770.07	490.38	193.63	186.13	210.03	18.516	17.3844	15.6895	15.5714	15.3269	1.2752	43.4025	45.8765	42.7571	78.429	83.8332	46.8329	8.2435	8.7278	8.13	137.7926	135.6059	156.1925	3.2995	3.1544	2.7249	0.4866	0.4852	0.4685	0.6656	0.7374	0.6411	0.2266	0.22	0.2113	0.3402	0.3284	0.5857	2.0048	1.9948	1.9929	9.49	9.52	8.57	672.9668	856.2682	824.0465	25.6577	25.1597	36.3851	38.519	37.663	37.882	0.0706	0.0871	0.0812	1.2923	1.2249	1.1518	451.0	424.0	434.0
HG00535	HG00533	HG00534	CHS	448.9	382.7	457.23	442.951	378.736	455.739	521.18	455.48	491.14	180.45	188.58	159.45	15.8969	16.7372	13.1509	15.32	13.4762	1.962	38.5587	45.286	42.9051	74.0332	79.2922	52.8626	10.9649	9.6667	10.0601	147.1634	136.5051	143.8506	3.4348	2.8451	3.2956	0.8892	0.8454	0.5454	0.9051	0.8267	0.8426	0.2471	0.232	0.237	0.5521	0.7891	0.4283	1.9857	1.994	1.9955	9.55	9.82	9.53	799.8965	728.3167	659.076	35.3147	24.3871	51.7921	36.493	37.495	37.83	0.0891	0.0852	0.0913	1.2497	1.2636	1.1825	441.0	415.0	442.0
HG00538	HG00536	HG00537	CHS	446.1	420.19	569.6	441.204	414.966	566.332	505.35	489.83	640.96	170.53	199.0	126.94	17.6845	15.9912	18.4476	13.7149	13.8071	1.2585	63.6833	52.9839	48.3849	76.0691	83.6395	45.6004	10.5207	11.5241	10.0541	141.2981	140.8525	150.7171	3.2844	3.5494	2.6932	0.6612	0.8025	0.7365	0.8028	0.8374	0.7892	0.2521	0.2651	0.2365	0.4507	0.2752	0.5032	1.9935	2.0054	1.9953	9.61	9.59	9.51	677.6923	776.9621	809.4467	34.7042	14.4366	14.9638	37.92	33.994	34.155	0.0999	0.0793	0.0589	1.1948	1.2642	1.1911	446.0	426.0	420.0
HG00544	HG00542	HG00543	CHS	339.75	249.32	452.39	334.347	245.776	445.093	391.59	288.89	513.89	109.54	245.62	318.67	19.4109	18.4527	15.8465	1.795	14.9986	1.6803	27.8598	36.3805	36.7008	58.9839	69.8578	60.395	9.7758	9.5714	9.28	157.1014	156.5368	142.3694	3.7568	3.4679	3.5215	0.5084	0.5122	0.5868	0.7605	0.8229	0.7357	0.2454	0.2466	0.2231	0.4498	0.4121	0.8748	2.0048	1.9863	2.0	9.64	9.54	8.69	674.4454	638.9395	683.978	53.7971	81.9333	62.9787	36.427	36.105	42.477	0.0881	0.0686	0.091	1.2217	1.2386	1.2385	444.0	434.0	431.0
HG00552	HG01075	HG00551	PUR	515.04	421.02	510.42	509.699	412.911	502.407	587.54	495.43	637.54	122.17	152.58	171.49	18.8218	19.3676	23.2248	9.2981	10.0756	2.2462	49.6792	53.3697	42.3184	73.7872	80.5642	59.2394	10.5569	9.7496	8.8745	131.7384	140.8679	137.9578	2.4144	2.5413	2.8165	0.6626	0.4915	0.681	0.9017	0.8936	0.8311	0.2454	0.2449	0.2318	0.9334	0.2994	0.8507	1.9946	1.9973	1.9894	9.7	9.65	9.63	821.3541	629.5302	831.8763	64.9409	24.0946	30.4596	38.725	39.292	50.98	0.0953	0.0798	0.0835	1.2267	1.2443	1.3374	445.0	413.0	424.0
HG00555	HG00553	HG00554	PUR	406.83	567.95	338.5	405.232	566.299	338.002	461.96	652.36	390.29	122.48	179.63	199.82	15.1697	12.4016	21.8065	1.23	16.6617	1.4569	55.9195	61.023	44.879	63.5232	88.1647	57.1405	8.9491	10.0839	9.1608	152.4604	142.99	150.2983	2.5503	2.8499	2.3246	0.7138	0.6912	0.6204	0.7714	0.912	0.7303	0.2343	0.2535	0.2247	0.5473	0.5907	0.6946	1.9921	2.0053	2.0059	9.6	9.68	8.77	825.1398	739.1645	935.4576	37.1906	83.7982	26.1098	35.221	38.985	38.368	0.0687	0.0809	0.104	1.2268	1.2463	1.287	439.0	419.0	431.0
HG00558	HG00556	HG00557	CHS	380.93	410.81	554.2	377.027	410.195	557.201	447.42	466.27	632.2	176.7	148.45	160.22	18.1562	13.5459	19.2707	1.1139	13.4232	1.5368	67.4838	62.1334	59.803	52.2319	74.743	58.9239	10.6853	10.1949	9.1797	140.6635	141.3156	152.758	3.0559	2.9784	3.2709	0.5628	0.5589	0.5011	0.7835	0.8515	0.8162	0.239	0.244	0.2402	0.8464	0.7561	0.747	1.9841	2.0032	1.9951	9.75	9.52	9.58	759.7174	824.4857	657.1325	17.9427	11.3008	25.1568	36.09	32.919	36.861	0.0856	0.0742	0.0743	1.2676	1.2474	1.2577	445.0	419.0	456.0
HG00561	HG00559	HG00560	CHS	598.03	561.41	468.85	590.115	556.286	463.974	688.08	666.58	554.42	272.83	185.96	203.64	15.5314	13.2938	17.567	1.5815	18.0347	1.5902	43.8184	41.0242	35.258	53.576	80.6338	45.0166	9.6535	9.1751	9.9031	154.0851	147.3429	137.6999	2.2549	3.0426	2.5325	0.4679	0.4875	0.5986	0.8413	0.845	0.8275	0.2609	0.2573	0.2387	0.4304	1.2697	0.5092	1.9965	1.9888	1.9966	9.71	9.77	9.63	677.7997	642.9151	839.47	49.9239	51.4187	39.0674	38.406	36.237	35.563	0.0969	0.0792	0.1063	1.2129	1.2701	1.293	449.0	397.0	432.0
HG00567	HG00565	HG00566	CHS	482.05	271.4	583.74	473.906	266.933	576.206	527.77	304.19	649.09	228.8	249.14	138.97	17.7137	18.6161	17.406	9.087	9.9419	1.2861	33.9988	35.692	39.2112	59.6938	62.185	51.9967	10.9369	9.3784	10.5375	156.7419	137.8879	164.0194	2.6995	2.5723	2.5132	0.675	0.647	0.586	0.8462	0.7186	0.8496	0.2679	0.2409	0.246	0.4387	0.4568	0.3765	1.9867	1.9922	1.9966	9.69	9.44	9.61	778.4676	844.1057	729.3898	36.3039	19.4533	36.0897	34.884	34.229	50.625	0.1651	0.07	0.1107	1.1222	1.2003	1.2104	447.0	431.0	439.0
HG00579	HG00577	HG00578	CHS	451.51	404.36	368.34	442.771	398.169	360.213	519.15	462.55	422.98	150.51	181.61	165.34	16.6606	22.9315	12.2268	1.9019	20.4225	1.4867	58.8326	68.8268	41.6067	52.761	72.1953	52.3995	8.8789	9.6983	9.4558	150.5026	139.7466	153.2443	3.4763	3.7577	2.9793	0.4912	0.4916	0.4624	0.8052	0.7327	0.771	0.2543	0.2586	0.2547	0.6599	0.346	0.6637	2.003	1.9933	2.0023	9.55	9.65	9.49	734.5683	774.693	678.8498	54.4602	32.1972	61.2121	36.71	35.452	36.893	0.0899	0.0706	0.0902	1.2301	1.2454	1.2231	452.0	434.0	445.0
HG00582	HG00580	HG00581	CHS	437.99	586.67	374.09	429.018	580.74	357.112	507.68	677.04	447.14	169.23	158.51	142.63	17.4356	18.0682	14.6504	1.3336	16.4115	1.3315	42.751	49.9628	42.8072	51.5512	73.9313	39.4624	10.7702	10.8846	9.7303	144.1133	162.926	133.1629	3.1035	3.0156	2.6449	0.5849	0.5123	0.5453	0.8225	0.8611	0.7005	0.239	0.2429	0.2336	0.5058	0.7231	0.5611	1.993	1.9909	1.9901	9.76	9.93	9.45	743.3849	976.7396	878.6201	75.502	16.7717	20.3118	35.54	39.159	34.91	0.0925	0.1182	0.0815	1.2345	1.2732	1.2839	441.0	433.0	435.0
HG00585	HG00583	HG00584	CHS	325.74	394.6	400.23	328.657	389.821	402.827	377.56	430.04	441.98	195.92	126.99	162.89	20.4148	12.528	19.9097	2.0228	16.274	1.6914	53.7034	45.1372	55.9459	50.9099	73.1626	46.8049	8.495	8.8604	9.5311	146.799	136.7016	138.2621	3.1088	1.9667	4.1239	0.4686	0.6019	0.3961	0.6769	0.7601	0.7818	0.2414	0.2295	0.2471	0.2895	0.2237	0.3781	1.9832	1.9971	1.9964	9.56	9.7	9.67	685.2973	849.8124	753.0383	26.1499	11.6868	73.6068	35.342	36.797	44.366	0.0719	0.0558	0.0707	1.2303	1.1523	1.1832	433.0	435.0	434.0
HG00591	HG00589	HG00590	CHS	631.1	500.62	511.07	626.048	503.196	506.8	745.72	568.3	600.08	168.87	151.4	174.94	19.2255	16.926	18.0604	20.3159	18.7056	1.0504	46.6809	47.3318	58.3115	79.457	73.3463	63.2693	10.9293	9.7594	11.978	145.995	136.3815	153.0588	2.7	3.2965	2.9867	0.6227	0.8099	0.5033	0.8002	0.7965	0.798	0.2535	0.2547	0.2461	0.5333	0.1442	0.4475	1.9974	2.0084	2.0032	9.58	9.51	9.47	668.2974	777.3238	785.9575	40.103	12.0919	28.2861	38.67	38.169	36.168	0.0702	0.0732	0.0798	1.2945	1.1877	1.2428	446.0	424.0	414.0
HG00594	HG00592	HG00593	CHS	362.3	301.96	451.66	351.836	297.029	451.71	432.77	346.67	476.42	110.64	130.65	158.84	14.7079	12.7889	17.1947	9.7258	9.6582	1.6198	61.6644	55.3052	48.1943	70.8416	68.1183	49.7601	11.3975	10.7115	9.2654	154.1544	149.0479	161.5665	3.1097	2.6003	3.0436	0.5693	0.6535	0.5724	0.7985	0.7364	0.7471	0.2497	0.2302	0.2078	0.4647	0.4596	0.5097	1.9926	1.9952	2.0038	9.47	9.62	9.6	776.7958	694.094	946.0471	65.7667	28.48	44.7051	39.798	38.528	37.28	0.0713	0.0635	0.0835	1.3014	1.2319	1.1233	432.0	430.0	432.0
HG00597	HG00595	HG00596	CHS	636.76	528.99	733.99	628.91	526.323	728.091	729.4	608.5	832.98	139.19	178.1	144.62	15.9219	15.3346	16.6776	1.5638	19.0241	1.2233	51.0224	42.2849	63.0539	50.8759	69.6323	52.454	9.9011	10.0259	10.4346	148.1101	137.6257	154.5898	2.9953	3.429	2.8874	0.5385	0.5773	0.5918	0.7774	0.8057	0.8229	0.2352	0.244	0.2311	0.5001	0.8395	0.3817	1.9941	1.9891	1.9933	9.57	9.59	9.65	753.7679	881.1997	729.6821	27.7154	24.8959	55.4455	36.855	34.302	48.119	0.089	0.0772	0.0862	1.2309	1.2569	1.2106	451.0	425.0	419.0
HG00609	HG00607	HG00608	CHS	396.11	400.2	391.54	391.634	395.296	385.552	475.3	468.61	461.46	148.02	134.41	126.86	14.8069	14.3483	16.4867	18.3496	16.9834	1.9176	45.5413	44.4962	48.7703	75.9882	75.5248	56.5664	9.891	9.7434	10.0691	147.7835	147.3397	162.9324	2.8324	2.8924	2.3264	0.6363	0.5635	0.5952	0.691	0.7636	0.7359	0.2565	0.2646	0.2525	0.2677	0.4737	0.7116	2.0027	1.9903	2.0033	9.73	9.63	9.73	704.855	692.2542	1165.9799	58.0002	84.8001	26.587	38.844	41.145	49.482	0.0691	0.0793	0.0848	1.3118	1.2475	1.2429	452.0	410.0	423.0
HG00612	HG00610	HG00611	CHS	760.78	788.32	747.71	753.168	795.715	752.372	881.38	887.97	854.49	153.45	126.25	175.27	16.3576	17.9912	17.3562	1.2734	14.1309	1.1524	59.527	40.6069	62.681	55.994	70.3077	46.7511	10.5302	8.0654	10.4601	162.4369	146.8805	163.042	2.9001	2.2552	2.719	0.6135	0.6071	0.6844	0.8276	0.7408	0.8282	0.2521	0.2328	0.2376	0.4932	0.341	0.4309	2.0006	1.9944	1.9976	9.69	9.68	9.81	797.765	764.8732	736.3258	58.0339	49.7643	63.4494	36.693	38.246	38.546	0.0927	0.0635	0.0725	1.2344	1.1988	1.2026	447.0	433.0	405.0
HG00615	HG00613	HG00614	CHS	547.46	484.96	530.11	541.041	484.734	531.195	618.58	563.14	622.7	218.03	217.65	120.61	18.1796	15.9464	19.3598	1.5347	10.5045	1.5086	50.6345	42.4735	51.1348	49.7247	68.2093	51.5335	10.0746	11.2156	9.847	141.3303	138.5449	161.6063	3.2955	3.6658	2.7144	0.4116	0.4825	0.471	0.7588	0.7846	0.7783	0.2267	0.2591	0.2258	0.932	0.6152	0.2528	1.9972	1.992	1.9868	9.86	9.66	10.01	755.2072	673.2427	891.1378	37.7517	41.3576	16.0989	37.144	36.782	36.266	0.0945	0.1015	0.0985	1.2222	1.2947	1.3255	448.0	428.0	435.0
